task,precision,recall,f1,number,accuracy,language,corpus,subset,validation_duration,tokens,sentences
LOC,0.8484848484848485,0.5334784975503538,0.6550802139037433,1837.0,,en,conll,validation,3.440273,51362,3250
MISC,0.0,0.0,0.0,922.0,,en,conll,validation,3.440273,51362,3250
ORG,0.5180722891566265,0.19239373601789708,0.2805872756933116,1341.0,,en,conll,validation,3.440273,51362,3250
PER,0.8624390243902439,0.4799131378935939,0.6166724799441925,1842.0,,en,conll,validation,3.440273,51362,3250
overall,0.7923823749066468,0.35711881521373273,0.49234338747099765,,0.8942992874109263,en,conll,validation,3.440273,51362,3250
LOC,0.5882352941176471,0.3867403314917127,0.4666666666666667,181.0,,en,hipe,HIPE-data-v1.4-test-en,2.781453,16634,46
MISC,0.0,0.0,0.0,19.0,,en,hipe,HIPE-data-v1.4-test-en,2.781453,16634,46
ORG,0.11764705882352941,0.15789473684210525,0.13483146067415733,76.0,,en,hipe,HIPE-data-v1.4-test-en,2.781453,16634,46
PER,0.26785714285714285,0.19230769230769232,0.22388059701492538,156.0,,en,hipe,HIPE-data-v1.4-test-en,2.781453,16634,46
overall,0.33633633633633636,0.25925925925925924,0.29281045751633983,,0.9338703859564746,en,hipe,HIPE-data-v1.4-test-en,2.781453,16634,46
LOC,0.5735294117647058,0.26,0.3577981651376147,150.0,,en,emerging,emerging.test.annotated.conll,2.281318,23394,1287
MISC,0.0,0.0,0.0,269.0,,en,emerging,emerging.test.annotated.conll,2.281318,23394,1287
ORG,0.19696969696969696,0.11255411255411256,0.14325068870523414,231.0,,en,emerging,emerging.test.annotated.conll,2.281318,23394,1287
PER,0.4396551724137931,0.11888111888111888,0.18715596330275228,429.0,,en,emerging,emerging.test.annotated.conll,2.281318,23394,1287
overall,0.3670886075949367,0.10750695088044486,0.1663082437275986,,0.9262203983927503,en,emerging,emerging.test.annotated.conll,2.281318,23394,1287
LOC,0.766743648960739,0.591198168404986,0.6676242459063487,3931.0,,en,ontonotes,VALIDATION_en,9.176508,269914,14110
MISC,0.0,0.0,0.0,1770.0,,en,ontonotes,VALIDATION_en,9.176508,269914,14110
ORG,0.47411444141689374,0.4001149755676919,0.4339828526890101,3479.0,,en,ontonotes,VALIDATION_en,9.176508,269914,14110
PER,0.4692492012779553,0.451575710991545,0.4602428515471994,2602.0,,en,ontonotes,VALIDATION_en,9.176508,269914,14110
overall,0.5773816550584346,0.41512476659310815,0.48299017429516616,,0.9495839415517535,en,ontonotes,VALIDATION_en,9.176508,269914,14110
LOC,0.2848180677540778,0.2596511295396054,0.2716529543754675,6994.0,,en,wikiann,wikiann-en.bio,7.556073,205018,25000
ORG,0.36835420068953,0.12438725490196079,0.1859740735651138,16320.0,,en,wikiann,wikiann-en.bio,7.556073,205018,25000
PER,0.5364180729450191,0.4574319933153839,0.4937863299258368,10771.0,,en,wikiann,wikiann-en.bio,7.556073,205018,25000
overall,0.41633447228549736,0.25738594689746225,0.31811012201533806,,0.6338662946668098,en,wikiann,wikiann-en.bio,7.556073,205018,25000
LOC,0.8791208791208791,0.5167958656330749,0.6509357200976403,774.0,,nl,conll,ned.testb.txt,4.56344,68875,5195
MISC,0.8458904109589042,0.4161752316764954,0.5578769057029926,1187.0,,nl,conll,ned.testb.txt,4.56344,68875,5195
ORG,0.7709923664122137,0.4580498866213152,0.5746799431009957,882.0,,nl,conll,ned.testb.txt,4.56344,68875,5195
PER,0.851581508515815,0.6375227686703097,0.7291666666666666,1098.0,,nl,conll,ned.testb.txt,4.56344,68875,5195
overall,0.8377358490566038,0.5069779243846739,0.6316787859626937,,0.9592304900181489,nl,conll,ned.testb.txt,4.56344,68875,5195
LOC,0.6095890410958904,0.1478405315614618,0.23796791443850268,602.0,,nl,europeana,enp_NL.kb.txt,5.955028,29917,59
MISC,0.0,0.0,0.0,0.0,,nl,europeana,enp_NL.kb.txt,5.955028,29917,59
ORG,0.15,0.05357142857142857,0.07894736842105263,112.0,,nl,europeana,enp_NL.kb.txt,5.955028,29917,59
PER,0.10752688172043011,0.09646302250803858,0.10169491525423728,311.0,,nl,europeana,enp_NL.kb.txt,5.955028,29917,59
overall,0.2039151712887439,0.12195121951219512,0.1526251526251526,,0.939231874853762,nl,europeana,enp_NL.kb.txt,5.955028,29917,59
LOC,0.8523890784982935,0.2518910741301059,0.3888672635266641,3966.0,,nl,sonar,SoNaR-1,6.901849,150339,8993
MISC,0.17146974063400577,0.12906724511930587,0.14727722772277227,1844.0,,nl,sonar,SoNaR-1,6.901849,150339,8993
ORG,0.525706940874036,0.28032899246058945,0.3656683057666518,1459.0,,nl,sonar,SoNaR-1,6.901849,150339,8993
PER,0.688663282571912,0.3830588235294118,0.49228908376171765,2125.0,,nl,sonar,SoNaR-1,6.901849,150339,8993
overall,0.5442477876106194,0.2618692782627209,0.35360068995256577,,0.9325856896746686,nl,sonar,SoNaR-1,6.901849,150339,8993
LOC,0.5917788802267895,0.21279306829765546,0.31302717900656046,11772.0,,nl,wikiann,wikiann-nl.bio,8.308545,211184,25000
MISC,0.0,0.0,0.0,0.0,,nl,wikiann,wikiann-nl.bio,8.308545,211184,25000
ORG,0.48786039453717756,0.07087742504409171,0.12377285851780558,9072.0,,nl,wikiann,wikiann-nl.bio,8.308545,211184,25000
PER,0.5822314049586776,0.5451520544765147,0.5630819645925748,12923.0,,nl,wikiann,wikiann-nl.bio,8.308545,211184,25000
overall,0.5418349989368488,0.3018627654218616,0.3877213336122787,,0.741921736495189,nl,wikiann,wikiann-nl.bio,8.308545,211184,25000
LOC,0.6860902255639098,0.37628865979381443,0.4860186418109187,970.0,,es,ancora,ancora-es-2.0,4.785757,81226,2603
MISC,0.3888888888888889,0.14416475972540047,0.21035058430717865,437.0,,es,ancora,ancora-es-2.0,4.785757,81226,2603
ORG,0.7541954590325765,0.5052910052910053,0.6051485148514852,1512.0,,es,ancora,ancora-es-2.0,4.785757,81226,2603
PER,0.8743455497382199,0.469760900140647,0.6111619396157365,1422.0,,es,ancora,ancora-es-2.0,4.785757,81226,2603
overall,0.7527316875758802,0.4284727021423635,0.546095126247798,,0.9512594489449191,es,ancora,ancora-es-2.0,4.785757,81226,2603
LOC,0.8285714285714286,0.48154981549815495,0.6091015169194866,1084.0,,es,conll,esp.testb.txt,3.873595,51533,1517
MISC,0.6444444444444445,0.25588235294117645,0.36631578947368415,340.0,,es,conll,esp.testb.txt,3.873595,51533,1517
ORG,0.7772808586762076,0.6207142857142857,0.6902303415409055,1400.0,,es,conll,esp.testb.txt,3.873595,51533,1517
PER,0.8940520446096655,0.654421768707483,0.755695208169678,735.0,,es,conll,esp.testb.txt,3.873595,51533,1517
overall,0.8091697645600991,0.5504355155942681,0.6551839464882944,,0.9441716958065706,es,conll,esp.testb.txt,3.873595,51533,1517
LOC,0.4151490066225166,0.1765068191816982,0.2477001913934679,11365.0,,es,wikiann,wikiann-es.bio,7.04167,161715,25000
MISC,0.0,0.0,0.0,0.0,,es,wikiann,wikiann-es.bio,7.04167,161715,25000
ORG,0.26910994764397905,0.09532640949554896,0.14078334702821144,10784.0,,es,wikiann,wikiann-es.bio,7.04167,161715,25000
PER,0.48714591763865744,0.4863933452168746,0.4867693405482547,8415.0,,es,wikiann,wikiann-es.bio,7.04167,161715,25000
overall,0.3985349214337639,0.23318282947258212,0.2942184242574359,,0.5329313916457966,es,wikiann,wikiann-es.bio,7.04167,161715,25000
