task,precision,recall,f1,number,accuracy,language,model,corpus,subset,validation_duration,tokens,sentences
LOC,0.772978402812657,0.8377789874795862,0.8040752351097179,1837.0,,en,en_core_web_lg,conll,validation,8.975796,51362,3250
MISC,0.7692307692307693,0.6290672451193059,0.6921241050119332,922.0,,en,en_core_web_lg,conll,validation,8.975796,51362,3250
ORG,0.4447702834799609,0.33929903057419836,0.3849407783417935,1341.0,,en,en_core_web_lg,conll,validation,8.975796,51362,3250
PER,0.8546954314720813,0.7312703583061889,0.7881802223522528,1842.0,,en,en_core_web_lg,conll,validation,8.975796,51362,3250
overall,0.7337200598802395,0.659878828677213,0.694843168527379,,0.9342704723336319,en,en_core_web_lg,conll,validation,8.975796,51362,3250
LOC,0.5947712418300654,0.5027624309392266,0.5449101796407186,181.0,,en,en_core_web_lg,hipe,HIPE-data-v1.4-test-en,0.967107,16634,46
MISC,0.0,0.0,0.0,19.0,,en,en_core_web_lg,hipe,HIPE-data-v1.4-test-en,0.967107,16634,46
ORG,0.06289308176100629,0.13157894736842105,0.08510638297872339,76.0,,en,en_core_web_lg,hipe,HIPE-data-v1.4-test-en,0.967107,16634,46
PER,0.17708333333333334,0.21794871794871795,0.1954022988505747,156.0,,en,en_core_web_lg,hipe,HIPE-data-v1.4-test-en,0.967107,16634,46
overall,0.22277227722772278,0.3125,0.2601156069364162,,0.9205242274858723,en,en_core_web_lg,hipe,HIPE-data-v1.4-test-en,0.967107,16634,46
LOC,0.5042016806722689,0.4,0.44609665427509293,150.0,,en,en_core_web_lg,emerging,emerging.test.annotated.conll,3.691555,23394,1287
MISC,0.08333333333333333,0.05204460966542751,0.06407322654462243,269.0,,en,en_core_web_lg,emerging,emerging.test.annotated.conll,3.691555,23394,1287
ORG,0.12564102564102564,0.21212121212121213,0.1578099838969404,231.0,,en,en_core_web_lg,emerging,emerging.test.annotated.conll,3.691555,23394,1287
PER,0.43103448275862066,0.34965034965034963,0.38610038610038605,429.0,,en,en_core_web_lg,emerging,emerging.test.annotated.conll,3.691555,23394,1287
overall,0.26634146341463416,0.25301204819277107,0.2595057034220532,,0.9053603488073865,en,en_core_web_lg,emerging,emerging.test.annotated.conll,3.691555,23394,1287
LOC,0.8647058823529412,0.8974815568557619,0.8807889152415429,3931.0,,en,en_core_web_lg,ontonotes,VALIDATION_en,39.939256,269914,14110
MISC,0.6487325400931195,0.7084745762711865,0.6772886848501215,1770.0,,en,en_core_web_lg,ontonotes,VALIDATION_en,39.939256,269914,14110
ORG,0.7885915112192484,0.838459327392929,0.8127612148230705,3479.0,,en,en_core_web_lg,ontonotes,VALIDATION_en,39.939256,269914,14110
PER,0.7078115682766846,0.9123750960799385,0.7971793149764943,2602.0,,en,en_core_web_lg,ontonotes,VALIDATION_en,39.939256,269914,14110
overall,0.7709321904178784,0.8549482261076218,0.8107694784288474,,0.9754477352045466,en,en_core_web_lg,ontonotes,VALIDATION_en,39.939256,269914,14110
LOC,0.2981842047691971,0.38976265370317414,0.3378780366881507,6994.0,,en,en_core_web_lg,wikiann,wikiann-en.bio,58.350024,205018,25000
MISC,0.0,0.0,0.0,0.0,,en,en_core_web_lg,wikiann,wikiann-en.bio,58.350024,205018,25000
ORG,0.3795257521672616,0.1824142156862745,0.2463996027147823,16320.0,,en,en_core_web_lg,wikiann,wikiann-en.bio,58.350024,205018,25000
PER,0.5229838709677419,0.6020796583418438,0.5597514134046868,10771.0,,en,en_core_web_lg,wikiann,wikiann-en.bio,58.350024,205018,25000
overall,0.36304062909567497,0.3575766466187473,0.3602879229052426,,0.6791062248192842,en,en_core_web_lg,wikiann,wikiann-en.bio,58.350024,205018,25000
LOC,0.7748110831234257,0.8372346216657593,0.8048142333856619,1837.0,,en,en_core_web_trf,conll,validation,76.318947,51362,3250
MISC,0.7370892018779343,0.6811279826464208,0.7080045095828635,922.0,,en,en_core_web_trf,conll,validation,76.318947,51362,3250
ORG,0.7233782129742962,0.4407158836689038,0.5477293790546801,1341.0,,en,en_core_web_trf,conll,validation,76.318947,51362,3250
PER,0.9229747675962815,0.754614549402823,0.8303464755077657,1842.0,,en,en_core_web_trf,conll,validation,76.318947,51362,3250
overall,0.8036821705426357,0.6979131605520027,0.7470725995316159,,0.9446477940890152,en,en_core_web_trf,conll,validation,76.318947,51362,3250
LOC,0.6274509803921569,0.5303867403314917,0.5748502994011976,181.0,,en,en_core_web_trf,hipe,HIPE-data-v1.4-test-en,8.704109,16634,46
MISC,0.0,0.0,0.0,19.0,,en,en_core_web_trf,hipe,HIPE-data-v1.4-test-en,8.704109,16634,46
ORG,0.16470588235294117,0.18421052631578946,0.17391304347826086,76.0,,en,en_core_web_trf,hipe,HIPE-data-v1.4-test-en,8.704109,16634,46
PER,0.36496350364963503,0.32051282051282054,0.34129692832764513,156.0,,en,en_core_web_trf,hipe,HIPE-data-v1.4-test-en,8.704109,16634,46
overall,0.33613445378151263,0.37037037037037035,0.35242290748898675,,0.9379583984609835,en,en_core_web_trf,hipe,HIPE-data-v1.4-test-en,8.704109,16634,46
LOC,0.6818181818181818,0.4,0.5042016806722689,150.0,,en,en_core_web_trf,emerging,emerging.test.annotated.conll,32.352631,23394,1287
MISC,0.12301587301587301,0.11524163568773234,0.11900191938579655,269.0,,en,en_core_web_trf,emerging,emerging.test.annotated.conll,32.352631,23394,1287
ORG,0.4585987261146497,0.3116883116883117,0.3711340206185567,231.0,,en,en_core_web_trf,emerging,emerging.test.annotated.conll,32.352631,23394,1287
PER,0.6688311688311688,0.4801864801864802,0.5590230664857531,429.0,,en,en_core_web_trf,emerging,emerging.test.annotated.conll,32.352631,23394,1287
overall,0.4583850931677019,0.34198331788693237,0.39171974522292996,,0.9379755492861418,en,en_core_web_trf,emerging,emerging.test.annotated.conll,32.352631,23394,1287
LOC,0.9105172836479529,0.9447977613838718,0.9273408239700375,3931.0,,en,en_core_web_trf,ontonotes,VALIDATION_en,333.201937,269914,14110
MISC,0.6133451171011931,0.784180790960452,0.6883213488718076,1770.0,,en,en_core_web_trf,ontonotes,VALIDATION_en,333.201937,269914,14110
ORG,0.8716864072194022,0.8884736993388905,0.88,3479.0,,en,en_core_web_trf,ontonotes,VALIDATION_en,333.201937,269914,14110
PER,0.7819620253164556,0.9496541122213682,0.857688302672683,2602.0,,en,en_core_web_trf,ontonotes,VALIDATION_en,333.201937,269914,14110
overall,0.8172900061312078,0.9051094890510949,0.8589609343536045,,0.9817349229754663,en,en_core_web_trf,ontonotes,VALIDATION_en,333.201937,269914,14110
LOC,0.30742376013964473,0.42808121246782954,0.3578557341779717,6994.0,,en,en_core_web_trf,wikiann,wikiann-en.bio,539.141798,205018,25000
MISC,0.0,0.0,0.0,0.0,,en,en_core_web_trf,wikiann,wikiann-en.bio,539.141798,205018,25000
ORG,0.5351063829787234,0.21574754901960785,0.3075109170305677,16320.0,,en,en_core_web_trf,wikiann,wikiann-en.bio,539.141798,205018,25000
PER,0.6452864230942715,0.6640980410361155,0.6545571010248902,10771.0,,en,en_core_web_trf,wikiann,wikiann-en.bio,539.141798,205018,25000
overall,0.3300333220650022,0.400997506234414,0.3620710208082226,,0.6700192178247764,en,en_core_web_trf,wikiann,wikiann-en.bio,539.141798,205018,25000
LOC,0.7330873308733087,0.7700258397932817,0.7511027095148077,774.0,,nl,nl_core_news_lg,conll,ned.testb.txt,13.902588,68875,5195
MISC,0.33496846531184304,0.4026958719460826,0.3657230298393267,1187.0,,nl,nl_core_news_lg,conll,ned.testb.txt,13.902588,68875,5195
ORG,0.5936139332365747,0.463718820861678,0.5206874602164226,882.0,,nl,nl_core_news_lg,conll,ned.testb.txt,13.902588,68875,5195
PER,0.7798165137614679,0.7741347905282332,0.7769652650822669,1098.0,,nl,nl_core_news_lg,conll,ned.testb.txt,13.902588,68875,5195
overall,0.5804926598656382,0.5919817305252474,0.5861809045226131,,0.9564283121597096,nl,nl_core_news_lg,conll,ned.testb.txt,13.902588,68875,5195
LOC,0.40350877192982454,0.420265780730897,0.4117168429617575,602.0,,nl,nl_core_news_lg,europeana,enp_NL.kb.txt,1.413576,29917,59
MISC,0.0,0.0,0.0,0.0,,nl,nl_core_news_lg,europeana,enp_NL.kb.txt,1.413576,29917,59
ORG,0.029900332225913623,0.16071428571428573,0.05042016806722689,112.0,,nl,nl_core_news_lg,europeana,enp_NL.kb.txt,1.413576,29917,59
PER,0.12073170731707317,0.3183279742765273,0.17506631299734746,311.0,,nl,nl_core_news_lg,europeana,enp_NL.kb.txt,1.413576,29917,59
overall,0.13290229885057472,0.36097560975609755,0.19427671304804411,,0.8701407226660427,nl,nl_core_news_lg,europeana,enp_NL.kb.txt,1.413576,29917,59
LOC,0.8065300451545676,0.5854765506807866,0.6784514243973704,3966.0,,nl,nl_core_news_lg,sonar,SoNaR-1,25.050352,150339,8993
MISC,0.12295081967213115,0.17082429501084598,0.14298683613254654,1844.0,,nl,nl_core_news_lg,sonar,SoNaR-1,25.050352,150339,8993
ORG,0.5244112578977599,0.6257710760795065,0.570625,1459.0,,nl,nl_core_news_lg,sonar,SoNaR-1,25.050352,150339,8993
PER,0.7537566650508968,0.731764705882353,0.7425978987583572,2125.0,,nl,nl_core_news_lg,sonar,SoNaR-1,25.050352,150339,8993
overall,0.552190373174689,0.5434319778582074,0.5477761682493696,,0.9500994419279096,nl,nl_core_news_lg,sonar,SoNaR-1,25.050352,150339,8993
LOC,0.5986376503892428,0.5748386000679578,0.5864967932050615,11772.0,,nl,nl_core_news_lg,wikiann,wikiann-nl.bio,61.136029,211184,25000
MISC,0.0,0.0,0.0,0.0,,nl,nl_core_news_lg,wikiann,wikiann-nl.bio,61.136029,211184,25000
ORG,0.128686327077748,0.20634920634920634,0.1585164486218722,9072.0,,nl,nl_core_news_lg,wikiann,wikiann-nl.bio,61.136029,211184,25000
PER,0.7091805298829328,0.7125280507622069,0.710850349326437,12923.0,,nl,nl_core_news_lg,wikiann,wikiann-nl.bio,61.136029,211184,25000
overall,0.402349121897333,0.528533775579708,0.4568890481798167,,0.7627897946814153,nl,nl_core_news_lg,wikiann,wikiann-nl.bio,61.136029,211184,25000
LOC,0.4166666666666667,0.5991440798858774,0.4915155061439438,701.0,,fr,fr_core_news_lg,europeana,enp_FR.bnf.txt,6.300042,30030,1778
MISC,0.0,0.0,0.0,0.0,,fr,fr_core_news_lg,europeana,enp_FR.bnf.txt,6.300042,30030,1778
ORG,0.17901234567901234,0.15425531914893617,0.1657142857142857,188.0,,fr,fr_core_news_lg,europeana,enp_FR.bnf.txt,6.300042,30030,1778
PER,0.3469119579500657,0.41379310344827586,0.37741243745532527,638.0,,fr,fr_core_news_lg,europeana,enp_FR.bnf.txt,6.300042,30030,1778
overall,0.29499379395945385,0.466928618205632,0.36156186612576063,,0.8888777888777889,fr,fr_core_news_lg,europeana,enp_FR.bnf.txt,6.300042,30030,1778
LOC,0.5442477876106194,0.7201405152224825,0.6199596774193548,854.0,,fr,fr_core_news_lg,hipe,HIPE-data-v1.4-test-fr,2.699392,40854,43
MISC,0.03188405797101449,0.16666666666666666,0.0535279805352798,66.0,,fr,fr_core_news_lg,hipe,HIPE-data-v1.4-test-fr,2.699392,40854,43
ORG,0.2830188679245283,0.46153846153846156,0.3508771929824561,130.0,,fr,fr_core_news_lg,hipe,HIPE-data-v1.4-test-fr,2.699392,40854,43
PER,0.25386996904024767,0.3299798792756539,0.2869641294838145,497.0,,fr,fr_core_news_lg,hipe,HIPE-data-v1.4-test-fr,2.699392,40854,43
overall,0.3643377625375054,0.5494505494505495,0.43814432989690727,,0.9191021686982914,fr,fr_core_news_lg,hipe,HIPE-data-v1.4-test-fr,2.699392,40854,43
LOC,0.5511320468013979,0.6250215405824574,0.5857558139534883,11606.0,,fr,fr_core_news_lg,wikiann,wikiann-fr.bio,59.154192,171850,25000
MISC,0.0,0.0,0.0,0.0,,fr,fr_core_news_lg,wikiann,wikiann-fr.bio,59.154192,171850,25000
ORG,0.5962363030014293,0.2330106125488736,0.3350736278447122,10742.0,,fr,fr_core_news_lg,wikiann,wikiann-fr.bio,59.154192,171850,25000
PER,0.6517652827721477,0.748264214674423,0.6966890888442386,10658.0,,fr,fr_core_news_lg,wikiann,wikiann-fr.bio,59.154192,171850,25000
overall,0.5254392983079977,0.5372356541234927,0.5312720027564304,,0.6862205411696247,fr,fr_core_news_lg,wikiann,wikiann-fr.bio,59.154192,171850,25000
LOC,0.5223214285714286,0.6679352997145576,0.5862212943632569,1051.0,,de,de_core_news_lg,conll,deu.testb,8.527169,51943,3005
MISC,0.07035175879396985,0.20388349514563106,0.10460772104607721,206.0,,de,de_core_news_lg,conll,deu.testb,8.527169,51943,3005
ORG,0.5057324840764331,0.6786324786324787,0.5795620437956205,585.0,,de,de_core_news_lg,conll,deu.testb,8.527169,51943,3005
PER,0.7988313856427379,0.7902559867877786,0.7945205479452054,1211.0,,de,de_core_news_lg,conll,deu.testb,8.527169,51943,3005
overall,0.5346585117227319,0.6871929249918113,0.6014046151641107,,0.9433994956009472,de,de_core_news_lg,conll,deu.testb,8.527169,51943,3005
LOC,0.436077057793345,0.4061990212071778,0.4206081081081081,613.0,,de,de_core_news_lg,europeana,enp_DE.onb.txt,0.504854,11223,3
MISC,0.0,0.0,0.0,0.0,,de,de_core_news_lg,europeana,enp_DE.onb.txt,0.504854,11223,3
ORG,0.031746031746031744,0.2727272727272727,0.056872037914691934,22.0,,de,de_core_news_lg,europeana,enp_DE.onb.txt,0.504854,11223,3
PER,0.34183673469387754,0.2896253602305475,0.31357254290171604,694.0,,de,de_core_news_lg,europeana,enp_DE.onb.txt,0.504854,11223,3
overall,0.2593856655290102,0.3431151241534989,0.2954324586977648,,0.768332887819656,de,de_core_news_lg,europeana,enp_DE.onb.txt,0.504854,11223,3
LOC,0.5677083333333334,0.6646341463414634,0.6123595505617978,164.0,,de,de_core_news_lg,europeana,enp_DE.lft.txt,0.284067,2727,78
MISC,0.0,0.0,0.0,0.0,,de,de_core_news_lg,europeana,enp_DE.lft.txt,0.284067,2727,78
ORG,0.09803921568627451,0.10204081632653061,0.1,49.0,,de,de_core_news_lg,europeana,enp_DE.lft.txt,0.284067,2727,78
PER,0.3055555555555556,0.4024390243902439,0.3473684210526316,82.0,,de,de_core_news_lg,europeana,enp_DE.lft.txt,0.284067,2727,78
overall,0.34106728538283065,0.49830508474576274,0.40495867768595045,,0.8184818481848185,de,de_core_news_lg,europeana,enp_DE.lft.txt,0.284067,2727,78
